Designator,Mid X,Mid Y,Layer,Rotation
D1, 9.00, 6.00,Top,270.0
D2,15.50, 6.00,Top,270.0
D3,22.00, 6.00,Top,270.0
D4,28.50, 6.00,Top,270.0
D5,35.00, 6.00,Top,270.0
J1, 1.50, 6.00,Top,270.0
J2,42.50, 6.00,Top,90.0
R1,18.70, 3.50,Top,90.0
